%time,field.header.seq,field.header.stamp,field.header.frame_id,field.values0,field.values1,field.values2,field.values3
1629157741197671929,207,65067000000,,64365849.0,64365871.0,64365896.0,64366697.0
1629157741300621149,208,65198000000,,64495506.0,64495532.0,64495557.0,64496353.0
1629157741327159511,209,65238000000,,64535117.0,64535139.0,64535165.0,64536002.0
1629157741380904833,210,65327000000,,64622598.0,64622619.0,64622645.0,64623435.0
1629157741484453035,211,65457000000,,64752136.0,64752158.0,64752183.0,64752970.0
1629157741497855859,212,65457000000,,64752136.0,64752158.0,64752183.0,64752970.0
1629157741692942437,213,65707000000,,64998554.0,64998576.0,64998602.0,64999394.0
1629157741706817183,214,65707000000,,64998554.0,64998576.0,64998602.0,64999394.0
1629157741744647534,215,65797000000,,65088041.0,65088063.0,65088088.0,65088864.0
1629157741757616988,216,65797000000,,65088041.0,65088063.0,65088088.0,65088864.0
1629157741875265595,217,65878000000,,65167360.0,65167382.0,65167408.0,65168190.0
1629157741887868658,218,65878000000,,65167360.0,65167382.0,65167408.0,65168190.0
1629157741913257281,219,65917000000,,65206691.0,65206712.0,65206738.0,65207514.0
1629157741926958050,220,65917000000,,65206691.0,65206712.0,65206738.0,65207514.0
1629157741990690223,221,65957000000,,65246128.0,65246152.0,65246180.0,65246967.0
1629157742120858711,222,66138000000,,65424515.0,65424539.0,65424567.0,65425356.0
1629157742161822384,223,66227000000,,65511951.0,65511970.0,65511996.0,65512794.0
1629157742252038791,224,66317000000,,65601028.0,65601072.0,65601097.0,65601894.0
1629157742292239161,225,66397000000,,65680174.0,65680194.0,65680220.0,65681017.0
1629157742304972828,226,66409000000,,65691914.0,65691934.0,65691960.0,65692735.0
1629157742317967286,227,66409000000,,65691914.0,65691934.0,65691960.0,65692735.0
1629157742396043473,228,66538000000,,65819607.0,65819632.0,65819667.0,65820445.0
1629157742409020959,229,66538000000,,65819607.0,65819632.0,65819667.0,65820445.0
1629157742550529557,230,66658000000,,65938167.0,65938186.0,65938212.0,65939007.0
1629157742577916150,231,66697000000,,65976992.0,65977012.0,65977037.0,65977813.0
1629157742652784284,232,66788000000,,66066574.0,66066594.0,66066619.0,66067419.0
1629157742692860894,233,66838000000,,66116708.0,66116728.0,66116753.0,66117551.0
1629157742706848225,234,66838000000,,66116708.0,66116728.0,66116753.0,66117551.0
1629157742785105094,235,66878000000,,66155738.0,66155759.0,66155784.0,66156565.0
1629157742797723941,236,66878000000,,66155738.0,66155759.0,66155784.0,66156565.0
1629157742810684525,237,66889000000,,66167068.0,66167088.0,66167113.0,66167886.0
1629157742849943494,238,66928000000,,66204800.0,66204820.0,66204845.0,66205628.0
1629157742864440253,239,66928000000,,66204800.0,66204820.0,66204845.0,66205628.0
1629157742877743552,240,66928000000,,66204800.0,66204820.0,66204845.0,66205628.0
1629157743239762342,241,67188000000,,66462316.0,66462336.0,66462361.0,66463140.0
1629157743343296296,242,67269000000,,66541886.0,66541906.0,66541931.0,66542712.0
1629157743357071377,243,67269000000,,66541886.0,66541906.0,66541931.0,66542712.0
1629157743397248001,244,67318000000,,66591010.0,66591029.0,66591055.0,66591833.0
1629157743499018723,245,67489000000,,66759842.0,66759861.0,66759887.0,66760684.0
1629157743603062663,246,67569000000,,66839227.0,66839247.0,66839272.0,66840062.0
1629157743616959898,247,67569000000,,66839227.0,66839247.0,66839272.0,66840062.0
1629157743850149839,248,67790000000,,67057752.0,67057784.0,67057809.0,67058589.0
1629157743915725702,249,67857000000,,67122868.0,67122889.0,67122915.0,67123709.0
1629157744030235539,250,67950000000,,67215137.0,67215160.0,67215188.0,67215978.0
1629157744147962858,251,68091000000,,67354603.0,67354622.0,67354649.0,67355444.0
