%time,field.header.seq,field.header.stamp,field.header.frame_id,field.values0,field.values1,field.values2,field.values3
1629153481995550729,8571,853220000000,,843247158.0,843247178.0,843247203.0,843247938.0
1629153482011401376,8572,853240000000,,843267195.0,843267215.0,843267242.0,843267997.0
1629153482037220713,8573,853260000000,,843287055.0,843287077.0,843287104.0,843287843.0
1629153482051311271,8574,853260000000,,843287055.0,843287077.0,843287104.0,843287843.0
1629153482089850796,8575,853270000000,,843296685.0,843296705.0,843296730.0,843297470.0
1629153482093154603,8576,853280000000,,843306589.0,843306609.0,843306634.0,843307373.0
1629153482106147244,8577,853288000000,,843314125.0,843314147.0,843314172.0,843314888.0
1629153482119045039,8578,853298000000,,843324032.0,843324054.0,843324079.0,843324794.0
1629153482132015820,8579,853298000000,,843324032.0,843324054.0,843324079.0,843324794.0
1629153482144895526,8580,853330000000,,843356113.0,843356133.0,843356158.0,843356897.0
1629153482157752115,8581,853340000000,,843366022.0,843366042.0,843366067.0,843366804.0
1629153482171888699,8582,853340000000,,843366022.0,843366042.0,843366067.0,843366804.0
1629153482184835523,8583,853348000000,,843373546.0,843373572.0,843373600.0,843374320.0
1629153482197702030,8584,853370000000,,843395739.0,843395759.0,843395784.0,843396521.0
1629153482199442563,8585,853380000000,,843405640.0,843405660.0,843405686.0,843406421.0
1629153482212477388,8586,853408000000,,843432978.0,843433000.0,843433025.0,843433742.0
1629153482225419673,8587,853420000000,,843444428.0,843444448.0,843444474.0,843444475.0
1629153482238198528,8588,853448000000,,843471606.0,843471628.0,843471653.0,843472401.0
1629153482251176712,8589,853458000000,,843482553.0,843482574.0,843482600.0,843483315.0
1629153482276850708,8590,853471000000,,843494806.0,843494826.0,843494851.0,843495585.0
1629153482289843349,8591,853481000000,,843504694.0,843504714.0,843504740.0,843505474.0
1629153482292879102,8592,853490000000,,843513764.0,843513784.0,843513809.0,843513810.0
1629153482305704123,8593,853498000000,,843522336.0,843522362.0,843522391.0,843523098.0
1629153482318756828,8594,853528000000,,843551837.0,843551859.0,843551885.0,843552601.0
1629153482332371691,8595,853528000000,,843551837.0,843551859.0,843551885.0,843552601.0
1629153482345229607,8596,853541000000,,843564123.0,843564143.0,843564168.0,843564905.0
1629153482358169797,8597,853548000000,,843571649.0,843571671.0,843571696.0,843572412.0
1629153482372282774,8598,853548000000,,843571649.0,843571671.0,843571696.0,843572412.0
1629153482385168068,8599,853608000000,,843630908.0,843630940.0,843630965.0,843630967.0
1629153482398011806,8600,853618000000,,843640453.0,843640476.0,843640504.0,843640506.0
1629153482399783977,8601,853648000000,,843670699.0,843670721.0,843670747.0,843671458.0
1629153482412688128,8602,853658000000,,843680010.0,843680031.0,843680057.0,843680058.0
1629153482425524114,8603,853668000000,,843689606.0,843689628.0,843689653.0,843689655.0
1629153482438370017,8604,853678000000,,843699789.0,843699811.0,843699836.0,843699838.0
1629153482464924302,8605,853728000000,,843749032.0,843749054.0,843749080.0,843749081.0
1629153482477816370,8606,853768000000,,843789003.0,843789025.0,843789050.0,843789052.0
1629153482490687207,8607,853778000000,,843798569.0,843798590.0,843798616.0,843798617.0
1629153482493734903,8608,853788000000,,843808461.0,843808483.0,843808508.0,843808510.0
1629153482506661194,8609,853808000000,,843828271.0,843828293.0,843828319.0,843828320.0
1629153482519540621,8610,853818000000,,843838176.0,843838198.0,843838223.0,843838225.0
1629153482544923377,8611,853828000000,,843848086.0,843848108.0,843848134.0,843848135.0
1629153482557770676,8612,853858000000,,843876715.0,843876737.0,843876763.0,843877477.0
1629153482570642910,8613,853868000000,,843887828.0,843887857.0,843887885.0,843887886.0
1629153482583490908,8614,853868000000,,843887828.0,843887857.0,843887885.0,843887886.0
1629153482596469092,8615,853878000000,,843897614.0,843897637.0,843897665.0,843897667.0
1629153482598115757,8616,853898000000,,843917415.0,843917437.0,843917463.0,843917464.0
1629153482623557389,8617,853908000000,,843927620.0,843927643.0,843927671.0,843927672.0
1629153482649082622,8618,853938000000,,843957037.0,843957059.0,843957084.0,843957085.0
1629153482662059688,8619,853938000000,,843957037.0,843957059.0,843957084.0,843957085.0
1629153482674959509,8620,853968000000,,843986751.0,843986773.0,843986798.0,843986800.0
1629153482687969261,8621,854018000000,,844035030.0,844035052.0,844035077.0,844035792.0
1629153482689673337,8622,854148000000,,844163492.0,844163514.0,844163540.0,844164252.0
1629153482702516376,8623,854158000000,,844173401.0,844173423.0,844173449.0,844174162.0
1629153482715610498,8624,854178000000,,844193675.0,844193697.0,844193723.0,844194439.0
1629153482728473303,8625,854188000000,,844203390.0,844203412.0,844203438.0,844204152.0
1629153482741297136,8626,854198000000,,844213319.0,844213341.0,844213366.0,844214079.0
1629153482766817340,8627,854238000000,,844252636.0,844252658.0,844252684.0,844253396.0
1629153482779792171,8628,854268000000,,844282355.0,844282377.0,844282402.0,844283114.0
1629153482792640938,8629,854268000000,,844282355.0,844282377.0,844282402.0,844283114.0
1629153482794464513,8630,854278000000,,844292260.0,844292282.0,844292308.0,844293020.0
1629153482807296238,8631,854288000000,,844302450.0,844302472.0,844302498.0,844303214.0
1629153482821088570,8632,854288000000,,844302450.0,844302472.0,844302498.0,844303214.0
1629153482833927908,8633,854318000000,,844332175.0,844332197.0,844332223.0,844332938.0
1629153482846822421,8634,854349000000,,844362429.0,844362451.0,844362477.0,844363184.0
1629153482872438867,8635,854358000000,,844372047.0,844372069.0,844372095.0,844372810.0
1629153482885253621,8636,854378000000,,844391309.0,844391331.0,844391356.0,844392070.0
1629153482898198420,8637,854398000000,,844411119.0,844411140.0,844411166.0,844411167.0
1629153482899953480,8638,854418000000,,844431222.0,844431244.0,844431270.0,844431986.0
1629153482912805040,8639,854468000000,,844480753.0,844480775.0,844480801.0,844481516.0
