%time,field.header.seq,field.header.stamp,field.header.frame_id,field.values0,field.values1,field.values2
1629424773180157946,2428,155878000000,,0.765995025635,-0.319062918425,0.581800341606
1629424773255246510,2429,155989000000,,0.700040280819,-0.33809697628,0.481972575188
1629424773270020754,2430,155989000000,,0.700040280819,-0.33809697628,0.481972575188
1629424773437360233,2431,156150000000,,0.603997588158,-0.394053727388,0.416951805353
1629424773452201036,2432,156150000000,,0.603997588158,-0.394053727388,0.416951805353
1629424773527138951,2433,156240000000,,0.550040781498,-0.44108492136,0.392559140921
1629424773584966616,2434,156318000000,,0.505982279778,-0.482134461403,0.399009585381
1629424773599237089,2435,156318000000,,0.505982279778,-0.482134461403,0.399009585381
1629424773627337261,2436,156331000000,,0.492987453938,-0.494128465652,0.40188446641
1629424773641538172,2437,156331000000,,0.492987453938,-0.494128465652,0.40188446641
1629424773717814818,2438,156422000000,,0.434996306896,-0.551057696342,0.439152479172
1629424773732697037,2439,156422000000,,0.434996306896,-0.551057696342,0.439152479172
1629424773778133539,2440,156481000000,,0.395117223263,-0.590001821518,0.458353847265
1629424773793074216,2441,156481000000,,0.395117223263,-0.590001821518,0.458353847265
1629424774036362853,2442,156778000000,,0.157979547977,-0.789123654366,0.701941728592
1629424774126198352,2443,156878000000,,0.0519883036613,-0.875062704086,0.805571734905
1629424774141066603,2444,156878000000,,0.0519883036613,-0.875062704086,0.805571734905
1629424774155945889,2445,156908000000,,0.0179894473404,-0.901056170464,0.833362460136
1629424774170493844,2446,156908000000,,0.0179894473404,-0.901056170464,0.833362460136
1629424774215283748,2447,156968000000,,-0.0500112697482,-0.953058004379,0.885899722576
1629424774319395586,2448,157058000000,,-0.158009886742,-1.0240534544,0.963300466537
1629424774334231780,2449,157058000000,,-0.158009886742,-1.0240534544,0.963300466537
1629424774395277067,2450,157148000000,,-0.269010066986,-1.09005284309,1.04117262363
1629424774410093425,2451,157148000000,,-0.269010066986,-1.09005284309,1.04117262363
1629424774468535979,2452,157208000000,,-0.331023693085,-1.12211322784,1.07524418831
1629424774483510529,2453,157208000000,,-0.331023693085,-1.12211322784,1.07524418831
1629424774545352784,2454,157298000000,,-0.454009771347,-1.17505180836,1.17631542683
1629424774559989788,2455,157298000000,,-0.454009771347,-1.17505180836,1.17631542683
1629424774574211231,2456,157298000000,,-0.454009771347,-1.17505180836,1.17631542683
1629424774605291494,2457,157368000000,,-0.541992127895,-1.2060713768,1.23407256603
1629424774620066366,2458,157368000000,,-0.541992127895,-1.2060713768,1.23407256603
1629424774665177683,2459,157429000000,,-0.611999094486,-1.22404944897,1.29473674297
1629424774679369024,2460,157429000000,,-0.611999094486,-1.22404944897,1.29473674297
1629424774693563789,2461,157429000000,,-0.611999094486,-1.22404944897,1.29473674297
1629424774724183024,2462,157478000000,,-0.669999420643,-1.23305094242,1.34165585041
1629424774738810459,2463,157478000000,,-0.669999420643,-1.23305094242,1.34165585041
1629424774753005014,2464,157478000000,,-0.669999420643,-1.23305094242,1.34165585041
1629424774828169147,2465,157568000000,,-0.764900565147,-1.23505294323,1.43137860298
1629424774842825497,2466,157568000000,,-0.764900565147,-1.23505294323,1.43137860298
1629424774874216486,2467,157629000000,,-0.827999949455,-1.23305499554,1.49127554893
1629424774888567906,2468,157629000000,,-0.827999949455,-1.23305499554,1.49127554893
1629424774902935739,2469,157629000000,,-0.827999949455,-1.23305499554,1.49127554893
1629424774918829899,2470,157660000000,,-0.856999635696,-1.22905504704,1.52413976192
1629424774934028503,2471,157660000000,,-0.856999635696,-1.22905504704,1.52413976192
1629424775024947950,2472,157790000000,,-0.977915108204,-1.19805848598,1.671184659
1629424775039793921,2473,157790000000,,-0.977915108204,-1.19805848598,1.671184659
1629424775054136681,2474,157790000000,,-0.977915108204,-1.19805848598,1.671184659
1629424775085236708,2475,157852000000,,-1.02900087833,-1.17906081676,1.73260450363
1629424775100543707,2476,157852000000,,-1.02900087833,-1.17906081676,1.73260450363
1629424775115304820,2477,157882000000,,-1.05300045013,-1.1680585146,1.76528310776
1629424775129984218,2478,157882000000,,-1.05300045013,-1.1680585146,1.76528310776
1629424775205764288,2479,157971000000,,-1.12000226974,-1.13405871391,1.86026155949
1629424775219929369,2480,157971000000,,-1.12000226974,-1.13405871391,1.86026155949
1629424775337994179,2481,158078000000,,-1.19002103806,-1.09311759472,1.95245802402
1629424775352684333,2482,158078000000,,-1.19002103806,-1.09311759472,1.95245802402
1629424775457307904,2483,158202000000,,-1.27300417423,-1.0350587368,2.08309268951
1629424775471542618,2484,158202000000,,-1.27300417423,-1.0350587368,2.08309268951
1629424775575026297,2485,158328000000,,-1.34501099586,-0.980055272579,2.17499732971
1629424775589450353,2486,158328000000,,-1.34501099586,-0.980055272579,2.17499732971
1629424775604086588,2487,158328000000,,-1.34501099586,-0.980055272579,2.17499732971
1629424775619388488,2488,158344000000,,-1.35600507259,-0.971059441566,2.18794894218
1629424775633711622,2489,158344000000,,-1.35600507259,-0.971059441566,2.18794894218
1629424775695284356,2490,158438000000,,-1.40401172638,-0.927055776119,2.23891878128
1629424775709832800,2491,158438000000,,-1.40401172638,-0.927055776119,2.23891878128
1629424775724188690,2492,158438000000,,-1.40401172638,-0.927055776119,2.23891878128
1629424775800027986,2493,158528000000,,-1.45002067089,-0.882096767426,2.27010440826
1629424775814268147,2494,158528000000,,-1.45002067089,-0.882096767426,2.27010440826
1629424775935325199,2495,158688000000,,-1.5240136385,-0.799053251743,2.31331276894
1629424775949766296,2496,158688000000,,-1.5240136385,-0.799053251743,2.31331276894
1629424775964295673,2497,158688000000,,-1.5240136385,-0.799053251743,2.31331276894
1629424776025665586,2498,158768000000,,-1.55601477623,-0.757055222988,2.31891226768
1629424776039697199,2499,158768000000,,-1.55601477623,-0.757055222988,2.31891226768
1629424776115176669,2500,158868000000,,-1.59202182293,-0.702087104321,2.31103587151
1629424776130002456,2501,158868000000,,-1.59202182293,-0.702087104321,2.31103587151
1629424776175074172,2502,158928000000,,-1.61101090908,-0.669039189816,2.31269407272
1629424776189503396,2503,158928000000,,-1.61101090908,-0.669039189816,2.31269407272
1629424776204864033,2504,158958000000,,-1.62001144886,-0.65305685997,2.30586361885
1629424776219381328,2505,158958000000,,-1.62001144886,-0.65305685997,2.30586361885
1629424776234170936,2506,158958000000,,-1.62001144886,-0.65305685997,2.30586361885
1629424776250026544,2507,158988000000,,-1.62901175022,-0.637057483196,2.30066466331
1629424776295235570,2508,159048000000,,-1.64501368999,-0.605059206486,2.29033088684
1629424776310101446,2509,159048000000,,-1.64501368999,-0.605059206486,2.29033088684
1629424776385508420,2510,159139000000,,-1.66601550579,-0.558061182499,2.27192854881
1629424776400105753,2511,159139000000,,-1.66601550579,-0.558061182499,2.27192854881
1629424776415251696,2512,159168000000,,-1.67301666737,-0.543063223362,2.26464962959
1629424776430078321,2513,159168000000,,-1.67301666737,-0.543063223362,2.26464962959
1629424776444945734,2514,159198000000,,-1.67903411388,-0.527122139931,2.248244524
1629424776459639240,2515,159198000000,,-1.67903411388,-0.527122139931,2.248244524
1629424776474341895,2516,159198000000,,-1.67903411388,-0.527122139931,2.248244524
1629424776535362877,2517,159288000000,,-1.69301629066,-0.478063046932,2.23301792145
1629424776550603735,2518,159288000000,,-1.69301629066,-0.478063046932,2.23301792145
1629424776564974082,2519,159319000000,,-1.6970179081,-0.4620642066,2.22080945969
1629424776579722484,2520,159319000000,,-1.6970179081,-0.4620642066,2.22080945969
1629424776594372688,2521,159319000000,,-1.6970179081,-0.4620642066,2.22080945969
1629424776625200122,2522,159378000000,,-1.70500957966,-0.431128740311,2.1971180439
1629424776640397469,2523,159378000000,,-1.70500957966,-0.431128740311,2.1971180439
1629424776757551818,2524,159500000000,,-1.71703612804,-0.373115092516,2.13033175468
1629424776772093627,2525,159500000000,,-1.71703612804,-0.373115092516,2.13033175468
1629424776817922571,2526,159570000000,,-1.72003161907,-0.341046601534,2.1013777256
1629424776832751012,2527,159570000000,,-1.72003161907,-0.341046601534,2.1013777256
1629424776847228845,2528,159591000000,,-1.72203123569,-0.33215072751,2.07895493507
1629424776861923120,2529,159591000000,,-1.72203123569,-0.33215072751,2.07895493507
1629424776908897123,2530,159650000000,,-1.72304582596,-0.305122762918,2.04052448273
1629424776923328443,2531,159650000000,,-1.72304582596,-0.305122762918,2.04052448273
1629424776939029629,2532,159682000000,,-1.72302365303,-0.292063683271,2.03068065643
1629424776953632481,2533,159682000000,,-1.72302365303,-0.292063683271,2.03068065643
1629424776985114823,2534,159741000000,,-1.72305011749,-0.266176223755,1.98125612736
1629424776999615146,2535,159741000000,,-1.72305011749,-0.266176223755,1.98125612736
1629424777014222467,2536,159741000000,,-1.72305011749,-0.266176223755,1.98125612736
1629424777090569934,2537,159831000000,,-1.71902453899,-0.228062331676,1.93104147911
1629424777239306709,2538,159982000000,,-1.70404493809,-0.169090747833,1.82388210297
1629424777253996654,2539,159982000000,,-1.70404493809,-0.169090747833,1.82388210297
1629424777285216390,2540,160048000000,,-1.69502389431,-0.146058633924,1.78011846542
1629424777299374907,2541,160048000000,,-1.69502389431,-0.146058633924,1.78011846542
1629424777313535448,2542,160048000000,,-1.69502389431,-0.146058633924,1.78011846542
1629424777417357722,2543,160178000000,,-1.66804409027,-0.0981043875217,1.67446351051
1629424777431454218,2544,160178000000,,-1.66804409027,-0.0981043875217,1.67446351051
1629424777507317190,2545,160268000000,,-1.64704751968,-0.0711181014776,1.60613179207
1629424777521797888,2546,160268000000,,-1.64704751968,-0.0711181014776,1.60613179207
1629424777565183338,2547,160328000000,,-1.63002347946,-0.0550576858222,1.57428479195
1629424777579401779,2548,160328000000,,-1.63002347946,-0.0550576858222,1.57428479195
1629424777593654232,2549,160328000000,,-1.63002347946,-0.0550576858222,1.57428479195
1629424777638287969,2550,160378000000,,-1.61702513695,-0.0420630648732,1.53855490685
1629424777652521426,2551,160378000000,,-1.61702513695,-0.0420630648732,1.53855490685
1629424777668418939,2552,160408000000,,-1.60902309418,-0.0360602475703,1.51888561249
1629424777682705824,2553,160408000000,,-1.60902309418,-0.0360602475703,1.51888561249
1629424777727779636,2554,160468000000,,-1.58802306652,-0.0230597257614,1.48100304604
1629424777742082027,2555,160468000000,,-1.58802306652,-0.0230597257614,1.48100304604
1629424777757578437,2556,160498000000,,-1.57902252674,-0.0170589145273,1.46207427979
1629424777771815874,2557,160498000000,,-1.57902252674,-0.0170589145273,1.46207427979
